ifp_id,q_type,q_text,q_desc,q_status,date_start,date_suspend,date_to_close,date_closed,outcome,short_title,days_open,n_opts,options
1017-0,0,Will Robert Mugabe cease to be President of Zimbabwe by 30 September 2011?,"""By"" means at or prior to the end (11:59:59 pm ET) of 30 September 2011. For ""yes"" to be the outcome, events must not only occur but also be reported by the media prior to deadline. Mugabe will be considered ""in power"" as of this date and time, unless one of the following conditions occurs prior to the deadline (note that each condition has qualifications):a. He has diedb. He vacates or is forcibly removed from the capital / head of government office (or residence) following resignation of office or electoral defeat.c. He is reported to have vacated the capital in a manner characterized as fleeing the capital, being driven from the capital, or going into exile.d. Leader has disappeared from public view, such that it is unclear whether he is alive or whether he is residing within the nation he governs.e. Leader is deemed to be in a prolonged or permanent state of mental incapacitation (e.g., coma, vegetative state).For condition ""a,"" the question can be closed and resolved immediately.For condition ""b,"" the question will be closed when the leader vacates office / power is transferred. Neither tendering of resignation nor electoral defeat is sufficient.For conditions ""c"" through ""e"", administrator will typically observe a three-week waiting period between the condition's occurrence (e.g., date leader is reported as going into exile) and the question's resolution. If this or one of the other conditions ""c"" through ""e"" still holds at the end of this period, or if other relevant conditions (e.g., condition ""a"") are fulfilled prior to the end of the period, the question will be resolved at this time as ""leader is no longer in power.""BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com) will be used for question resolution. Administrator reserves the right to choose one of these sources or to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts or may deem the question invalid/void.",closed,9/7/11,9/29/11 0:00,9/30/11,9/30/11,b,Mugabe vacate presidency,23,2,"(a) Yes, (b) No"
1018-0,0,Will Muqtada al-Sadr formally withdraw support for the current Iraqi government of Nouri al-Maliki by 30 September 2011?,"""By"" means at or prior to the end (11:59:59 pm ET) of 30 September 2011. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,9/7/11,9/29/11 0:00,9/30/11,9/30/11,b,Al-Sadr withdraw support of Iraqi govt,23,2,"(a) Yes, (b) No"
1019-0,0,Will Ali Abdullah Saleh cease to be Yemen's head of government by 30 September 2011?,"""By"" means at or prior to the end (11:59:59 pm ET) of 30 September 2011. For 'yes' to be the outcome, events must not only occur but also be reported by the media prior to deadline. Saleh will be considered ""in power"" as of this date and time, unless one of the following conditions occurs prior to the deadline (note that each condition has qualifications):a. He has diedb. He vacates or is forcibly removed from the capital / head of government office (or residence) following resignation of office or electoral defeat.c. He is reported to have vacated the capital in a manner characterized as fleeing the capital, being driven from the capital, or going into exile.d. Leader has disappeared from public view, such that it is unclear whether he is alive or whether he is residing within the nation he governs.e. Leader is deemed to be in a prolonged or permanent state of mental incapacitation (e.g., coma, vegetative state).For condition ""a,"" the question can be closed and resolved immediately.For condition ""b,"" the question will be closed when the leader vacates office / power is transferred. Neither tendering of resignation nor electoral defeat is sufficient.For conditions ""c"" through ""e"", administrator will typically observe a three-week waiting period between the condition's occurrence (e.g., date leader is reported as going into exile) and the question's resolution. If this or one of the other conditions ""c"" through ""e"" still holds at the end of this period, or if other relevant conditions (e.g., condition ""a"") are fulfilled prior to the end of the period, the question will be resolved at this time as ""leader is no longer in power.""BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com) will be used for question resolution. Administrator reserves the right to choose one of these sources or to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts or may deem the question invalid/void.",voided,9/7/11,NULL,12/15/11,NA,,Saleh vacate office,NA,2,"(a) Yes, (b) No"
1020-0,0,Will peace talks between Israel and Palestine formally resume at some point between 3 October 2011 and 1 November 2011?,"An announcement of talks is not sufficient. Talks must actually resume as signified by a formal meeting, summit, etc. Between should be interpreted to mean at any point during the window after the beginning (12 midnight ET) of the first date, but before the end (11:59:59 PM ET) of the second date.   Outcome will be resolved based on reporting from BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains has not left office).  Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online.  In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,10/31/11 0:00,11/1/11,11/1/11,b,Israel-Palestine peace talks resume,28,2,"(a) Yes, (b) No"
1021-0,0,Will the expansion of the European bailout fund be ratified by all 17 Eurozone nations before 1 November 2011?,"Before should be interpreted to mean at or prior to the end (11:59:59 ET) of the previous day. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,10/30/11 0:00,10/31/11,10/13/11,a,European bailout expansion ratified,9,2,"(a) Yes, (b) No"
1022-0,0,Will the South African government grant the Dalai Lama a visa before 7 October 2011?,"Before should be interpreted to mean at or prior to the end (11:59:59 ET) of the previous day. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,10/5/11 0:00,10/6/11,10/6/11,b,S. African visa for Dalai Lama,2,2,"(a) Yes, (b) No"
1023-0,0,Will former Ukrainian Prime Minister Yulia Tymoshenko be found guilty on any charges in a Ukrainian court before 1 November 2011?,"Before should be interpreted to mean at or prior to the end (11:59:59 ET) of the previous day. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,10/30/11 0:00,10/31/11,10/10/11,a,Ukranian PM guilty on any charges,6,2,"(a) Yes, (b) No"
1024-0,0,Will Abdoulaye Wade win re-election as President of Senegal?,"Background information:  Senegal's presidential election is currently set for February 2012.  The question will close with a 'no' if Wade drops out of the race, fails to qualify for the runoff, or loses the first or the second round.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,3/25/12 0:00,3/30/12,3/25/12,b,Wade re-election in Senegal,173,2,"(a) Yes, (b) No"
1025-0,0,"Will the Freedom and Justice Party win at least 20 percent of the seats in the first People's Assembly (Majlis al-Sha'b) election in post-Mubarak ?","The Freedom and Justice Party is affiliated with the Muslim Brotherhood. A definite date for the election has not been set but it is expected to occur sometime in the fall of 2011.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,1/1/12 0:00,1/31/12,1/20/12,a,FJ party win 20% in Egypt,108,2,"(a) Yes, (b) No"
1026-0,0,Will Joseph Kabila remain president of the Democratic Republic of the Congo through 31 January 2012?,"The election is currently scheduled to take place on 28 November 2011, and any handover of power to take place on 20 December 2011. However, the election may be postponed. The question may remain open until 31 January 2012 even if Kabila wins.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,1/30/12 0:00,1/31/12,1/31/12,a,Kabila remain president of Congo,119,2,"(a) Yes, (b) No"
1027-0,0,Who will win the January 2012 Taiwan Presidential election?,"Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. ",closed,10/4/11,1/12/12 0:00,1/13/12,1/13/12,a,Taiwan presidential election,101,3,"(a) Ma Ying-jeou (KMT candidate), (b) Tsai Ing-wen (DPP candidate), (c) Neither"
1028-0,0,Will Moody's issue a new downgrade of the sovereign debt rating of the Government of Greece between 3 October 2011 and 30 November 2011?,"Between should be interpreted to mean at any point during the window after the beginning (12 midnight ET) of the first date, but before the end (11:59:59 PM ET) of the second date.   Outcome will be resolved based on reporting from BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains has not left office).  Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online.  In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void. Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.'",closed,10/4/11,11/29/11 0:00,11/30/11,11/30/11,b,Moody's downgrade of Greece,57,2,"(a) Yes, (b) No"
1029-0,0,Will any of the 20 jailed Bahraini medical workers be released by 1 November 2011?,"Release must be reported in the media by this deadline. ""By"" means at or prior to the end of the day on 1 November 2011 (11:59:59 pm ET).  Background is avilable at http://www.smh.com.au/world/outcry-as-bahrain-jails-medical-staff-who-aided-activists-20110930-1l1fm.html.  Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",voided,10/4/11,NULL,12/15/11,NA,,Bahraini prisoner release,NA,2,"(a) Yes, (b) No"
1030-0,0,Will the UN Security Council pass a measure/resolution concerning Syria in October 2011?,"Outcome will be resolved based on reporting from one or more of the following sources: BBC News or Reuters or Economist Online (http://www.bbc.co.uk/news/ or http://www.reuters.com/ or http://www.economist.com). If nothing is reported in these sources, then the 'status quo' outcome typically will be assumed (e.g., for a question about a political leader leaving office, an absence of reporting will be taken to indicate that the leader remains in office). Administrator reserves the right to use other sources as needed (e.g., CIA World Factbook, Wikipedia), provided those sources do not directly contradict concurrent event reporting from BBC News, Reuters, or Economist Online. In cases of substantial controversy or uncertainty, administrator may refer the question to outside subject matter experts, or we may deem the question invalid/void.",closed,10/4/11,10/30/11 0:00,10/31/11,10/31/11,b,UN-SC Syria resolution,27,2,"(a) Yes, (b) No"
